ticket_id,title,category,priority,status,assignee,created_at,resolved_at,description
OPS-1001,Terraform apply failing on state lock,infrastructure,P1,in_progress,a.patel,2025-08-17 04:00:00,,"Terraform apply failing on state lock. Reported in production environment, affecting 1 service."
OPS-1002,Redis connection refused after restart,infrastructure,P1,open,unassigned,2025-08-27 16:00:00,,"Redis connection refused after restart. Reported in production environment, affecting 1 service."
OPS-1003,CI/CD pipeline failing at Docker build stage,infrastructure,P3,resolved,m.santos,2026-03-06 07:00:00,2026-03-11 02:00:00,"CI/CD pipeline failing at Docker build stage. Reported in production environment, affecting 1 service."
OPS-1004,"Rolling update stuck, old pods not terminating",kubernetes,P3,open,unassigned,2025-08-09 10:00:00,,"Rolling update stuck, old pods not terminating. Reported in production environment, affecting 1 service."
OPS-1005,ConfigMap changes not reflected in running pods,kubernetes,P1,closed,r.oconnor,2025-09-28 01:00:00,2025-10-05 20:00:00,"ConfigMap changes not reflected in running pods. Reported in production environment, affecting 1 service."
OPS-1006,Async endpoint timing out under concurrent load,fastapi,P3,closed,a.patel,2026-01-06 18:00:00,2026-01-08 20:00:00,"Async endpoint timing out under concurrent load. Reported in production environment, affecting 1 service."
OPS-1007,CI/CD pipeline failing at Docker build stage,infrastructure,P4,closed,m.santos,2025-08-27 03:00:00,2025-08-31 05:00:00,"CI/CD pipeline failing at Docker build stage. Reported in production environment, affecting all users in us-east-1."
OPS-1008,SSL certificate expired on production endpoint,infrastructure,P2,in_progress,a.patel,2025-10-01 22:00:00,,"SSL certificate expired on production endpoint. Reported in production environment, affecting multiple services."
OPS-1009,High latency reported on API gateway,infrastructure,P2,in_progress,j.kim,2025-10-04 20:00:00,,"High latency reported on API gateway. Reported in production environment, affecting a subset of users."
OPS-1010,Persistent volume claim stuck in Pending state,kubernetes,P4,closed,j.kim,2026-02-15 08:00:00,2026-02-16 01:00:00,"Persistent volume claim stuck in Pending state. Reported in production environment, affecting a subset of users."
OPS-1011,DNS resolution failing inside cluster,kubernetes,P3,closed,j.kim,2026-04-15 04:00:00,2026-04-18 00:00:00,"DNS resolution failing inside cluster. Reported in production environment, affecting multiple services."
OPS-1012,S3 bucket access denied from EC2 instance,infrastructure,P3,resolved,m.santos,2026-03-15 18:00:00,2026-03-20 01:00:00,"S3 bucket access denied from EC2 instance. Reported in production environment, affecting multiple services."
OPS-1013,OOMKilled errors on production workload,kubernetes,P3,closed,j.kim,2025-04-23 04:00:00,2025-04-29 21:00:00,"OOMKilled errors on production workload. Reported in production environment, affecting all users in us-east-1."
OPS-1014,Terraform apply failing on state lock,infrastructure,P3,resolved,a.patel,2026-04-25 16:00:00,2026-04-28 09:00:00,"Terraform apply failing on state lock. Reported in production environment, affecting 1 service."
